time,open,high,low,close,volume
2022-01-20 12:00:00+00:00,42134,42134,41954,42033,13657996.4669
2022-01-20 12:15:00+00:00,42033,42048,41936,42001,3858422.7447
2022-01-20 12:30:00+00:00,42000,42008,41948,41988,2607478.8869
2022-01-20 12:45:00+00:00,41990,42091,41939,42043,2008823.8935
2022-01-20 13:00:00+00:00,42042,42087,41993,42048,2451481.3147
2022-01-20 13:15:00+00:00,42048,42108,41984,42052,1962649.8186
2022-01-20 13:30:00+00:00,42047,42448,42046,42424,12702142.958
2022-01-20 13:45:00+00:00,42424,42470,42354,42385,6763822.8184
2022-01-20 14:00:00+00:00,42391,42520,42382,42501,8252308.9292
2022-01-20 14:15:00+00:00,42501,42528,42406,42412,4044256.5639
2022-01-20 14:30:00+00:00,42411,42819,42408,42741,21642759.9461
2022-01-20 14:45:00+00:00,42748,43066,42743,42979,15660252.2965
2022-01-20 15:00:00+00:00,42979,43450,42955,43183,24997938.4146
2022-01-20 15:15:00+00:00,43175,43312,43075,43302,8521365.4776
2022-01-20 15:30:00+00:00,43297,43416,43173,43197,6732107.6535
2022-01-20 15:45:00+00:00,43197,43358,43142,43295,5750783.4815
2022-01-20 16:00:00+00:00,43302,43513,43186,43239,13016858.4819
2022-01-20 16:15:00+00:00,43235,43307,43159,43307,5459547.6747
2022-01-20 16:30:00+00:00,43306,43403,43194,43206,9621472.885
2022-01-20 16:45:00+00:00,43205,43355,43200,43281,7052604.7391
2022-01-20 17:00:00+00:00,43285,43310,43187,43197,3133068.5986
2022-01-20 17:15:00+00:00,43192,43245,43170,43231,2227059.1065
2022-01-20 17:30:00+00:00,43234,43273,43103,43107,2801894.9849
2022-01-20 17:45:00+00:00,43107,43129,43000,43038,4305050.372
2022-01-20 18:00:00+00:00,43039,43053,42937,43036,4745183.0046
2022-01-20 18:15:00+00:00,43037,43039,42915,42956,5157005.2116
2022-01-20 18:30:00+00:00,42958,43043,42882,43005,3816016.1488
2022-01-20 18:45:00+00:00,43005,43092,42828,42828,5709426.8324
2022-01-20 19:00:00+00:00,42828,43241,42822,42952,18214691.4514
2022-01-20 19:15:00+00:00,42951,43152,42951,43084,5858010.6203
2022-01-20 19:30:00+00:00,43082,43082,42911,42923,5898968.1043
2022-01-20 19:45:00+00:00,42923,42962,42889,42931,4210111.1208
2022-01-20 20:00:00+00:00,42926,42992,42791,42800,4405742.3403
2022-01-20 20:15:00+00:00,42792,42871,42718,42722,6066902.8901
2022-01-20 20:30:00+00:00,42717,42741,42643,42651,6276167.9256
2022-01-20 20:45:00+00:00,42653,42764,42584,42733,9181106.0814
2022-01-20 21:00:00+00:00,42732,42736,42551,42551,4888405.0984
2022-01-20 21:15:00+00:00,42550,42631,42416,42417,10497650.2678
2022-01-20 21:30:00+00:00,42411,42449,41477,41762,33768199.4248
2022-01-20 21:45:00+00:00,41758,41758,41313,41321,43471913.4702
2022-01-20 22:00:00+00:00,41320,41558,40981,41332,47710821.0693
2022-01-20 22:15:00+00:00,41331,41525,41169,41467,12877277.2262
2022-01-20 22:30:00+00:00,41466,41466,41177,41203,9578663.9972
2022-01-20 22:45:00+00:00,41190,41286,40810,41161,26431207.1781
2022-01-20 23:00:00+00:00,41159,41179,40925,40986,21606655.0828
2022-01-20 23:15:00+00:00,40982,40982,40589,40831,36780550.9363
2022-01-20 23:30:00+00:00,40837,40895,40686,40878,17393989.15
2022-01-20 23:45:00+00:00,40877,40883,40567,40706,35669195.8839
2022-01-21 00:00:00+00:00,40706,40754,40400,40631,43283161.3278
2022-01-21 00:15:00+00:00,40631,40982,40573,40908,30150813.5948
2022-01-21 00:30:00+00:00,40903,41097,40805,41046,16326313.8814
2022-01-21 00:45:00+00:00,41047,41047,40823,40908,9826522.7422
2022-01-21 01:00:00+00:00,40896,40928,40647,40765,9660118.6833
2022-01-21 01:15:00+00:00,40764,40839,40692,40709,3644493.7201
2022-01-21 01:30:00+00:00,40710,40710,39901,40001,37079743.9894
2022-01-21 01:45:00+00:00,40001,40016,39727,39761,42780455.3725
2022-01-21 02:00:00+00:00,39759,39992,39683,39777,21697548.2248
2022-01-21 02:15:00+00:00,39780,40270,39294,40169,50984039.2332
2022-01-21 02:30:00+00:00,40169,40173,39770,39788,40367937.1708
2022-01-21 02:45:00+00:00,39783,40000,39736,39845,22302173.5771
2022-01-21 03:00:00+00:00,39837,39944,39330,39651,28859038.4255
2022-01-21 03:15:00+00:00,39659,39687,38759,38971,40869608.3682
2022-01-21 03:30:00+00:00,38987,38998,38236,38662,70414850.0706
2022-01-21 03:45:00+00:00,38661,38860,38359,38461,33519405.0765
2022-01-21 04:00:00+00:00,38461,38869,38437,38755,17939493.603
2022-01-21 04:15:00+00:00,38752,38855,38626,38786,11294755.367
2022-01-21 04:30:00+00:00,38788,39078,38673,38847,11386912.0844
2022-01-21 04:45:00+00:00,38846,38906,38764,38839,7669917.9092
2022-01-21 05:00:00+00:00,38838,38960,38701,38783,13345278.897
2022-01-21 05:15:00+00:00,38777,38865,38734,38795,8011519.7118
2022-01-21 05:30:00+00:00,38789,38968,38752,38924,9306524.4851
2022-01-21 05:45:00+00:00,38935,38996,38875,38907,6007377.8108
2022-01-21 06:00:00+00:00,38911,38931,38804,38822,6139888.8862
2022-01-21 06:15:00+00:00,38822,38855,38704,38772,6328921.0005
2022-01-21 06:30:00+00:00,38773,38800,38589,38638,11817835.72
2022-01-21 06:45:00+00:00,38633,38757,38548,38692,8319179.2669
2022-01-21 07:00:00+00:00,38688,38819,38561,38819,11744263.1587
2022-01-21 07:15:00+00:00,38817,38886,38768,38843,7137812.9
2022-01-21 07:30:00+00:00,38843,38896,38734,38876,6729816.4519
2022-01-21 07:45:00+00:00,38881,39171,38881,39133,14096986.0789
2022-01-21 08:00:00+00:00,39132,39282,39009,39154,10083808.1649
2022-01-21 08:15:00+00:00,39154,39162,39023,39154,8700483.5311
2022-01-21 08:30:00+00:00,39151,39197,39091,39114,6193392.5481
2022-01-21 08:45:00+00:00,39113,39214,39012,39157,5785452.1063
2022-01-21 09:00:00+00:00,39159,39184,38930,38982,11609329.2191
2022-01-21 09:15:00+00:00,38982,39105,38943,39036,6253231.2333
2022-01-21 09:30:00+00:00,39037,39097,38941,39019,6930686.9431
2022-01-21 09:45:00+00:00,39018,39098,38963,38963,2585074.5184
2022-01-21 10:00:00+00:00,38958,39047,38864,38979,10145461.5238
2022-01-21 10:15:00+00:00,38975,39060,38952,39031,3225070.6332
2022-01-21 10:30:00+00:00,39030,39086,38931,38956,3173690.7963
2022-01-21 10:45:00+00:00,38958,39030,38890,38968,4059525.5148
2022-01-21 11:00:00+00:00,38972,38983,38790,38821,6660782.382
2022-01-21 11:15:00+00:00,38821,38847,38683,38836,9727225.208
2022-01-21 11:30:00+00:00,38836,38873,38682,38864,8447590.7611
2022-01-21 11:45:00+00:00,38868,38910,38767,38900,5172573.6403
2022-01-21 12:00:00+00:00,38901,38931,38518,38591,13025139.2982
2022-01-21 12:15:00+00:00,38596,38731,38464,38537,16305190.4173
2022-01-21 12:30:00+00:00,38526,38526,37704,37996,42951269.3083
2022-01-21 12:45:00+00:00,37996,38275,37881,38176,28634612.1434
2022-01-21 13:00:00+00:00,38178,38518,38159,38406,20429242.4355
2022-01-21 13:15:00+00:00,38416,38511,38310,38392,10095960.0706
2022-01-21 13:30:00+00:00,38393,38688,38155,38652,23725034.6472
2022-01-21 13:45:00+00:00,38643,38734,38426,38490,14951304.8424
